Title,Location,Price,Area,Room
Apartment H. Diesveldsingel,1060 RL Amsterdam (Middelveldsche Akerpolder),"€1,495 per month",100 m²,100 m²
Studio Boergoensestraat,3082 KB Rotterdam (Oud Charlois),€675 per month,30 m²,30 m²
Apartment Albertus Perkstraat 1 B,1217 NK Hilversum (Boomberg),"€1,075 per month",70 m²,70 m²
Apartment Smalle Haven,5611 EH Eindhoven (Binnenstad),"€2,775 per month",132 m²,132 m²
House Lorentzkade,2014 CJ Haarlem (Zeeheldenbuurt),"€2,000 per month",140 m²,140 m²
Apartment Veemarkt 21 C,1621 JA Hoorn (Binnenstad - Buurt 10 03),"€1,350 per month",84 m²,84 m²
Apartment De Weer,1504 AH Zaandam (Poelenburg),"€1,375 per month",70 m²,70 m²
Apartment Nieuwe Uilenburgerstraat,1011 LM Amsterdam (Nieuwmarkt/Lastage),"€1,250 per month",33 m²,33 m²
Apartment Eerste Keucheniusstraat,1051 HP Amsterdam (Staatsliedenbuurt),"€1,350 per month",49 m²,49 m²
House Weversbaan 28 A,2352 BZ Leiderdorp (De Baanderij),"€1,850 per month",140 m²,140 m²
Apartment Schouwbroekseweg,5616 NW Eindhoven (Philipsdorp),"€1,800 per month",140 m²,140 m²
Apartment Westersingel,3014 GM Rotterdam (Cool),"€1,250 per month",63 m²,63 m²
Apartment Wijnbrugstraat,3011 XW Rotterdam (Stadsdriehoek),"€1,595 per month",71 m²,71 m²
Apartment Klarestraat 2 17,6811 DR Arnhem (Markt),€960 per month,57 m²,57 m²
House Rechtstraat,6221 EJ Maastricht (Wyck),€849 per month,30 m²,30 m²
Apartment Voorwaartsveld 49,4142 DD Leerdam (Leerdam-West),€800 per month,64 m²,64 m²
Apartment Bezuidenhoutseweg,2594 AC Den Haag (Bezuidenhout-West),"€3,200 per month",149 m²,149 m²
Apartment Bezuidenhoutseweg,2594 AC Den Haag (Bezuidenhout-West),"€5,250 per month",295 m²,295 m²
House Lijsterbesplein,2563 KZ Den Haag (Heesterbuurt),€490 per month,18 m²,18 m²
Apartment Westelijk Halfrond 149,1183 HT Amstelveen (Zeestratenbuurt),"€1,750 per month",85 m²,85 m²
Apartment Staringstraat,1054 VR Amsterdam (Overtoomse Sluis),"€1,450 per month",50 m²,50 m²
Apartment Lyonnetstraat 91,2522 NC Den Haag (Laakkwartier-Oost),€945 per month,65 m²,65 m²
Apartment Spaarwaterhof 13,2593 RS Den Haag (Bezuidenhout-Oost),"€1,590 per month",97 m²,97 m²
Studio Molenstraat,5014 NC Tilburg (Besterd),€495 per month,20 m²,20 m²
Apartment Romolenstraat,2032 RZ Haarlem (Oude Amsterdamsebuurt),"€1,240 per month",55 m²,55 m²
Apartment Boschmeerplein,5223 GX Den Bosch (De Schutskamp),"€1,125 per month",113 m²,113 m²
Apartment Kralendijkkade,2315 ZA Leiden (De Kooi),"€1,060 per month",50 m²,50 m²
Apartment Wijsmullerstraat 45 1,1058 JH Amsterdam (Hoofddorppleinbuurt),"€1,849 per month",55 m²,55 m²
Apartment Schalkwijkstraat,3512 KS Utrecht (Nieuwegracht-Oost),"€1,650 per month",61 m²,61 m²
Apartment Schalkwijkstraat,3512 KS Utrecht (Nieuwegracht-Oost),"€1,750 per month",71 m²,71 m²
Apartment Schalkwijkstraat,3512 KS Utrecht (Nieuwegracht-Oost),"€1,895 per month",86 m²,86 m²
House Rembrandtkade,3583 TN Utrecht (Wilhelminapark en omgeving),"€1,700 per month",95 m²,95 m²
Apartment Stuyvesantstraat,1058 AK Amsterdam (Westindische Buurt),"€1,650 per month",65 m²,65 m²
Apartment Sauterneslaan,6213 ET Maastricht (Campagne),"€1,025 per month",71 m²,71 m²
Apartment Keizer Karelweg,1181 RD Amstelveen (Elsrijk West),"€2,195 per month",105 m²,105 m²
Apartment Spaarne,2011 CG Haarlem (Burgwal),"€1,450 per month",50 m²,50 m²
House het Zandblauwtje,5689 AM Oirschot (Verspreide huizen Zuid-Oirschotse Heide),"€1,300 per month",90 m²,90 m²
Apartment Bezuidenhoutseweg,2594 AC Den Haag (Bezuidenhout-West),"€2,075 per month",85 m²,85 m²
Apartment Gerard Brandtstraat,1054 JJ Amsterdam (Vondelbuurt),"€1,600 per month",60 m²,60 m²
Apartment Hoog Gagel 48,5611 BG Eindhoven (Philipsdorp),"€1,800 per month",91 m²,91 m²
Apartment Hugo de Grootstraat,2518 EA Den Haag (Zeeheldenkwartier),€686 per month,30 m²,30 m²
Apartment Schouwbroekseweg,5616 NW Eindhoven (Philipsdorp),"€1,800 per month",140 m²,140 m²
House Eindstraat,5502 TC Veldhoven (Zeelst),"€1,795 per month",130 m²,130 m²
Apartment Gildemeestersplein 184,6826 LR Arnhem (Winkelcentrum),"€1,095 per month",90 m²,90 m²
Apartment Zoetestraat 25 B,2011 PP Haarlem (Binnenstad),"€1,910 per month",90 m²,90 m²
Apartment Wilhelminastraat,5141 HK Waalwijk (Centrum),€625 per month,45 m²,45 m²
Room Zuidwijkstraat,2729 KD Zoetermeer (Oosterheem-Noord-Oost),€295 per month,12 m²,12 m²
Apartment Overtoom,1054 JT Amsterdam (Overtoomse Sluis),"€1,875 per month",86 m²,86 m²
Apartment Vrijheidslaan,1078 PS Amsterdam (IJselbuurt),"€1,650 per month",62 m²,62 m²
House Oosterhofstraat,6825 BK Arnhem (Over het Lange Water),"€1,200 per month",76 m²,76 m²
Apartment Marktstraat,6901 AK Zevenaar (Centrum),€985 per month,75 m²,75 m²
Apartment Bloedstraat,1012 BS Amsterdam (Burgwallen-Oude Zijde),"€1,700 per month",85 m²,85 m²
Apartment Voorstraat,8261 HS Kampen (Binnenstad Kampen),€690 per month,42 m²,42 m²
Apartment Schalkwijkstraat,3512 KS Utrecht (Nieuwegracht-Oost),"€1,895 per month",87 m²,87 m²
Apartment Schalkwijkstraat,3512 KS Utrecht (Nieuwegracht-Oost),"€1,695 per month",67 m²,67 m²
Apartment Narcisplantsoen,2015 AL Haarlem (Bloemenbuurt),"€1,450 per month",75 m²,75 m²
Apartment Kloosterstraat,6562 AV Groesbeek (Groesbeek Centrum-Zuid),€970 per month,65 m²,65 m²
House Hyacinthstraat,5644 KC Eindhoven (Gerardusplein),"€1,450 per month",91 m²,91 m²
Apartment Hasseltstraat,5041 MA Tilburg (Bouwmeestersbuurt Noord),€650 per month,62 m²,62 m²
Apartment Tolbrugstraat Landzijde,3311 EK Dordrecht (Centrum),"€1,075 per month",68 m²,68 m²
Apartment Handelskade,5211 TH Den Bosch (Binnenstad-Centrum),"€2,450 per month",210 m²,210 m²
Apartment van Kinsbergenstraat 10 I,2041 KK Zandvoort (Boulevard Noord),"€1,275 per month",80 m²,80 m²
Apartment Bachstraat 700,2324 HE Leiden (Fortuinwijk-Zuid),"€1,100 per month",88 m²,88 m²
Apartment Zoutmanstraat,2518 GT Den Haag (Zeeheldenkwartier),€625 per month,30 m²,30 m²
Apartment Kalverstraat 220 D P,1012 XJ Amsterdam (Burgwallen-Nieuwe Zijde),"€1,950 per month",77 m²,77 m²
House Amsteldijk Noord 84,1183 TG Amstelveen (Middelpolder),"€3,750 per month",132 m²,132 m²
Apartment Paul Scholtenweg,5652 XC Eindhoven (Lievendaal),"€1,250 per month",75 m²,75 m²
Apartment Singel,1015 AC Amsterdam (Grachtengordel-West),"€2,250 per month",82 m²,82 m²
Apartment Heer Balderikstraat,5302 XE Zaltbommel (Verspreide huizen Hoeven),"€1,050 per month",68 m²,68 m²
Apartment Zeestraat 48 sous,2042 LA Zandvoort (Centrum),"€1,075 per month",100 m²,100 m²
House Trieneweegske,5521 WX Eersel (Kerkebogten),"€1,400 per month",119 m²,119 m²
Apartment De Biezenkamp,3831 JA Leusden (Hamersveld-Oud),"€1,150 per month",70 m²,70 m²
Apartment Kloosterstraat,5038 VN Tilburg (Trouwlaan),€660 per month,45 m²,45 m²
House Weversbaan 28 A,2352 BZ Leiderdorp (De Baanderij),"€1,850 per month",140 m²,140 m²
House Netelstraat 5,6413 SN Heerlen (Heerlerheide Kom),"€1,600 per month",152 m²,152 m²
House Nieuwe Duinweg 19,2587 AB Den Haag (Westbroekpark),"€6,500 per month",356 m²,356 m²
Apartment Ploegstraat,3075 ND Rotterdam (Vreewijk),€895 per month,50 m²,50 m²
Studio Narcissenstraat,3073 CP Rotterdam (Bloemhof),€795 per month,37 m²,37 m²
House Statietjalk,4617 GN Bergen op Zoom (Bergse Plaat),"€1,975 per month",160 m²,160 m²
Apartment Van Nijenrodeweg,1083 EC Amsterdam (Buitenveldert-Oost),"€1,450 per month",40 m²,40 m²
House Paul Windhausenweg,4818 TB Breda (Sportpark),"€1,595 per month",98 m²,98 m²
House Tasmanstraat,1013 PW Amsterdam (Houthavens),"€1,595 per month",60 m²,60 m²
Apartment Iepenrodelaan,1181 AK Amstelveen (Randwijck Oost),"€1,795 per month",115 m²,115 m²
Studio Bovenstraat,3077 BC Rotterdam (Oud IJsselmonde),€675 per month,21 m²,21 m²
Apartment Boslaan 119,2594 NC Den Haag (Haagse Bos),"€1,000 per month",45 m²,45 m²
Apartment Ametisthorst 281,2592 HK Den Haag (Burgen en Horsten),€870 per month,70 m²,70 m²
Apartment Kerkstraat,4901 JG Oosterhout (Centrum),"€1,450 per month",130 m²,130 m²
Studio Vredebest 24 B  unit 857D,2801 AS Gouda (Nieuwe Park Oost),€650 per month,26 m²,26 m²
Apartment J.T.P. Bijhouwerhof,1333 HN Almere (Bouwmeesterbuurt),"€1,200 per month",74 m²,74 m²
Apartment Goeverneurlaan,2523 BR Den Haag (Laakkwartier-Oost),"€1,100 per month",76 m²,76 m²
Apartment Céramiquelaan,1031 KG Amsterdam (Noordelijke IJ-oevers West),"€1,900 per month",86 m²,86 m²
Studio Bovenstraat,3077 BC Rotterdam (Oud IJsselmonde),€625 per month,16 m²,16 m²
Apartment Sluisstraat,1075 TD Amsterdam (Schinkelbuurt),"€1,850 per month",54 m²,54 m²
Apartment Oudedijk,3061 AC Rotterdam (Kralingen West),"€1,250 per month",58 m²,58 m²
Apartment Sarabande,2152 TE Nieuw-Vennep (Nieuw-Vennep Getsewoud Noord),"€1,175 per month",61 m²,61 m²
Apartment Waterloostraat,3062 TE Rotterdam (Kralingen Oost),"€1,850 per month",95 m²,95 m²
House Dorpsstraat,7958 RK Koekange (Koekange),"€1,295 per month",132 m²,132 m²
Apartment Veenbesstraat,3765 BW Soest (Smitsveen),"€1,295 per month",100 m²,100 m²
Apartment Terletstraat,2573 EW Den Haag (Oostbroek-Zuid),"€1,100 per month",75 m²,75 m²
Apartment Kijkduinstraat,1055 XZ Amsterdam (Landlust),"€1,400 per month",56 m²,56 m²
Apartment Lombardkade 21,3031 AG Rotterdam (Rubroek),"€1,425 per month",60 m²,60 m²
Apartment Stakman Bossestraat 3,2203 GE Noordwijk (Boerenburg en Grashoek),"€1,350 per month",81 m²,81 m²
Apartment Prinsengracht 673 A-2,1017 JT Amsterdam (Grachtengordel-Zuid),"€2,750 per month",120 m²,120 m²
Apartment Korreweg 197,9714 AL Groningen (Professorenbuurt),"€1,250 per month",85 m²,85 m²
Apartment Benedenland 4,3648 LC Wilnis (de Maricken-Veenzijde),"€1,300 per month",86 m²,86 m²
House Eindstraat,5502 TC Veldhoven (Zeelst),"€1,795 per month",130 m²,130 m²
House Netelstraat 5,6413 SN Heerlen (Heerlerheide Kom),"€1,600 per month",152 m²,152 m²
Apartment Lombardhof,3031 AE Rotterdam (Rubroek),"€1,300 per month",69 m²,69 m²
House Dorpstraat 19,6255 AM Noorbeek (Noorbeek),"€1,695 per month",163 m²,163 m²
Apartment Van Vollenhovenstraat,3016 BE Rotterdam (Nieuwe Werk),"€1,475 per month",58 m²,58 m²
Apartment Benoordenhoutseweg,2596 BB Den Haag (Nassaubuurt),"€1,345 per month",65 m²,65 m²
Apartment Molenstraat,4701 JV Roosendaal (Centrum-Oud),€975 per month,60 m²,60 m²
Apartment Van Beresteynstraat,2032 SG Haarlem (Oude Amsterdamsebuurt),"€1,395 per month",77 m²,77 m²
Apartment Breestraat,2311 CN Leiden (Pieterswijk),"€1,000 per month",45 m²,45 m²
Apartment Maetsuykerstraat,3531 HR Utrecht (Lombok-West),"€1,345 per month",58 m²,58 m²
Apartment Linschotenstraat,2012 VJ Haarlem (Rozenprieel-noord),"€1,375 per month",64 m²,64 m²
Apartment Lombardhof 18,3031 AE Rotterdam (Rubroek),"€1,425 per month",69 m²,69 m²
Apartment Welnastraat 316,1096 GJ Amsterdam (Omval/Overamstel),"€1,800 per month",60 m²,60 m²
Apartment Insulindeweg 802,1095 DK Amsterdam (Indische Buurt Oost),"€1,725 per month",73 m²,73 m²
Apartment Müllerkade,3024 EP Rotterdam (Schiemond),"€1,750 per month",97 m²,97 m²
House 's-Gravendamseweg,2215 TE Voorhout (Berg en Dal),"€1,795 per month",108 m²,108 m²
Apartment Medusastraat,2315 GS Leiden (De Kooi),€990 per month,40 m²,40 m²
Apartment Westfriesedijk 33 A,1749 CR Warmenhuizen (Schoorldam),"€1,500 per month",90 m²,90 m²
Apartment Solebaystraat,1055 ZS Amsterdam (Landlust),"€1,350 per month",45 m²,45 m²
House Aert de Gelderstraat,8932 HL Leeuwarden (Hollanderwijk),€675 per month,52 m²,52 m²
Apartment Galgewater 30,2311 VZ Leiden (Academiewijk),"€1,850 per month",103 m²,103 m²
Apartment Willebrordusplein,3037 TD Rotterdam (Liskwartier),"€1,250 per month",75 m²,75 m²
Apartment Van Heesstraat,3555 GH Utrecht (Zuilen-Noord),"€1,142 per month",54 m²,54 m²
Apartment Kralendijkkade,2315 ZA Leiden (De Kooi),"€1,120 per month",50 m²,50 m²
Apartment Marnixstraat,2316 EZ Leiden (Noorderkwartier),"€1,095 per month",55 m²,55 m²
Apartment Prins Willemstraat,2584 HT Den Haag (Oud Scheveningen),"€1,175 per month",77 m²,77 m²
Studio Damsterdiep,9711 SG Groningen (Binnenstad-Oost),€415 per month,28 m²,28 m²
Apartment Spaarwaterstraat 34,2593 RN Den Haag (Bezuidenhout-Oost),"€1,150 per month",80 m²,80 m²
Apartment Burgemeester Baumannlaan 132 B,3042 AE Rotterdam (Kleinpolder),"€1,150 per month",58 m²,58 m²
Apartment Delftlaan,2025 LW Haarlem (Van Schendelbuurt),"€1,200 per month",65 m²,65 m²
Apartment Johannes de Breukstraat 1 A,2021 HA Haarlem (Nelson Mandelabuurt),"€1,325 per month",48 m²,48 m²
Apartment Westpier,3331 MK Zwijndrecht (Westkeetshaven),"€1,450 per month",95 m²,95 m²
House Eindstraat,5502 TC Veldhoven (Zeelst),"€1,795 per month",130 m²,130 m²
House Weversbaan 28 A,2352 BZ Leiderdorp (De Baanderij),"€1,850 per month",140 m²,140 m²
House Schoolsteeg 1,2311 TD Leiden (Pieterswijk),"€1,295 per month",61 m²,61 m²
House Eendrachtstraat,1502 TL Zaandam (Rosmolenbuurt),€995 per month,70 m²,70 m²
Apartment Napelshof,3067 WJ Rotterdam (Oosterflank),"€1,400 per month",75 m²,75 m²
House Rooversbroekdijk 103,2161 LP Lisse (Buitengebied),"€1,150 per month",78 m²,78 m²
Apartment Duivelandselaan 53,1181 JT Amstelveen (Vredeveldbuurt),"€1,750 per month",78 m²,78 m²
Apartment Singel 99 bel,1012 VG Amsterdam (Burgwallen-Nieuwe Zijde),"€3,250 per month",120 m²,120 m²
